canonical_lineage_id,canonical_label,lineage_class,family,canonical_source_locator,registry_entry_ids,source_object_ids,aliases_and_related_views,representation_note,evidence_types,organism,assay,perturbation,acquisition_readiness,rights_pool,rights_basis,overlap_decision,verification_basis,limitations
aggregator:scperturb_atac,scPerturb Zenodo ATAC,aggregator,aggregators,https://zenodo.org/doi/10.5281/zenodo.7058381,agg003_scperturb_zenodo_atac,,"aggregator:scperturb_atac; mirrors GSE126310,GSE161002,GSE168851",,resource_metadata,human,scATAC-seq,CRISPR KO/knockdown,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg003_scperturb_zenodo_atac: manifest_only,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
aggregator:scperturb_rna,scPerturb Zenodo RNA,aggregator,aggregators,https://zenodo.org/doi/10.5281/zenodo.7041848,agg002_scperturb_zenodo_rna,,"aggregator:scperturb_rna; mirrors originals GSE90063,GSE90546,GSE92872,GSE120861,GSE126310,GSE133344,GSE135497,GSE146194,GSE153056 and others",,harmonized_perturbation_profiles,human;mouse,scRNA-seq/CITE-seq,"CRISPRi/a/KO, drug dose",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,agg002_scperturb_zenodo_rna: files_checksummed,Aggregator/portal identity; upstream studies named in its metadata are aliases only and are not expanded or counted from this row.
go-20220919,"GO annotations, 2022-09-19",auxiliary_annotation,auxiliary,slp/raw/go-20220919/,slp_raw_go_20220919,goa-human-20220919; go-sgd-20220919,go-20220919,,auxiliary annotation,human; yeast,GOA/SGD GAF annotations,none (annotation),materialized_or_censused_SLP_raw,open-attribution (per reconciliation),Reconciliation states CC BY 4.0.,New auxiliary source lineage; excluded from experimental-lineage counts.,slp_raw_go_20220919: Bucket census metadata: 16 MB GOA human and SGD GAF files.,
ARCHS4 sample SRA accessions,ARCHS4 file manifest (h5 files over budget),experimental_lineage,bulk-atlases,https://archs4.org/api/versionfile,bulk-atlases-archs4,,,,uniformly processed count/TPM matrices (not fetched),"human, mouse (+35000 samples other species)","bulk RNA-seq (salmon/STAR GRCh38/GRCm39, Ensembl 107)",gene perturbation subset must be identified via metadata,metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-archs4: manifest_only,
bbbc021 (idr0035 mirror),BBBC021 / idr0035 (compound annotations + image-level CSV),experimental_lineage,imaging,https://bbbc.broadinstitute.org/BBBC021,bbbc021,,,,measured,Homo sapiens (MCF7),3-channel fluorescence microscopy,"113 small molecules, 8 concentrations, 24 h",metadata_or_manifest_only,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bbbc021: manifest_only,
bbbc022 (idr0036 mirror),BBBC022 / idr0036 (image-level CSV),experimental_lineage,imaging,https://bbbc.broadinstitute.org/BBBC022,bbbc022,,,,measured,Homo sapiens (U2OS),Cell Painting (5-channel),"1,600 bioactive compounds, one screening condition",metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bbbc022: manifest_only,
biogrid-orcs-2.0.18,BioGRID ORCS,experimental_lineage,fitness-sl,https://downloads.thebiogrid.org/BioGRID-ORCS/Latest-Release/,FSL01,,,,direct_pair_GI and single_gene_fitness as curated per screen; screen index retained,Homo sapiens; Saccharomyces cerevisiae,CRISPR knockout (mixed per screen),CRISPR knockout; curated from 418+ publications,manual_import_deferred,manual-import deferred,Verified correction: live-manifest scope is zero pinned objects; two BioGRID ORCS tarballs are deferred to manual import.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL01: files_checksummed,Supersedes supplied snapshot association: live manifest has 0 pinned BioGRID ORCS objects; two tarballs are deferred to manual import.
bioRxiv:2025.12.12.693897,"HumanCytokineDict repo: README, donor metadata and annotations (theislab)",experimental_lineage,biologic-cytokine,https://github.com/theislab/HumanCytokineDict | https://doi.org/10.64898/2025.12.12.693897,humancytokinedict_github; biorxiv_2025_12_12_693897_metadata,,,,derived_signatures_and_metadata | metadata,Homo sapiens,in vitro PBMC scRNA-seq (Parse Evercode WT GigaLab); scRNA-seq,"90 cytokines, 24 h, PBS control, 12 donors; 90 cytokines, 24 h, 12 donors",materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,humancytokinedict_github: files_checksummed | biorxiv_2025_12_12_693897_metadata: manifest_only,
cpg0000-jump-pilot,JUMP pilot / CPJUMP1 cpg0000-jump-pilot (well profiles + metadata),experimental_lineage,imaging,https://cellpainting-gallery.s3.amazonaws.com/cpg0000-jump-pilot/source_4/workspace/profiles/2020_11_04_CPJUMP1/,cpjump1,cpjump1-cpg0000-profiles-br00116991; cpjump1-cpg0000-profiles-br00116992; cpjump1-cpg0000-profiles-br00116993; cpjump1-cpg0000-profiles-br00116994; cpjump1-cpg0000-profiles-br00116995; cpjump1-cpg0000-profiles-br00116996; cpjump1-cpg0000-profiles-br00116997; cpjump1-cpg0000-profiles-br00116998; cpjump1-cpg0000-profiles-br00116999; cpjump1-cpg0000-profiles-br00117000; cpjump1-cpg0000-profiles-br00117001; cpjump1-cpg0000-profiles-br00117002; cpjump1-cpg0000-profiles-br00117003; cpjump1-cpg0000-profiles-br00117004; cpjump1-cpg0000-profiles-br00117005; cpjump1-cpg0000-profiles-br00117006; cpjump1-cpg0000-profiles-br00117008; cpjump1-cpg0000-profiles-br00117009; cpjump1-cpg0000-profiles-br00117010; cpjump1-cpg0000-profiles-br00117011; cpjump1-cpg0000-profiles-br00117012; cpjump1-cpg0000-profiles-br00117013; cpjump1-cpg0000-profiles-br00117015; cpjump1-cpg0000-profiles-br00117016; cpjump1-cpg0000-profiles-br00117017; cpjump1-cpg0000-profiles-br00117019; cpjump1-cpg0000-profiles-br00117020; cpjump1-cpg0000-profiles-br00117021; cpjump1-cpg0000-profiles-br00117022; cpjump1-cpg0000-profiles-br00117023; cpjump1-cpg0000-profiles-br00117024; cpjump1-cpg0000-profiles-br00117025; cpjump1-cpg0000-profiles-br00117026; cpjump1-cpg0000-profiles-br00117050; cpjump1-cpg0000-profiles-br00117051; cpjump1-cpg0000-profiles-br00117052; cpjump1-cpg0000-profiles-br00117053; cpjump1-cpg0000-profiles-br00117054; cpjump1-cpg0000-profiles-br00117055; cpjump1-cpg0000-profiles-br00118039; cpjump1-cpg0000-profiles-br00118040; cpjump1-cpg0000-profiles-br00118041; cpjump1-cpg0000-profiles-br00118042; cpjump1-cpg0000-profiles-br00118043; cpjump1-cpg0000-profiles-br00118044; cpjump1-cpg0000-profiles-br00118045; cpjump1-cpg0000-profiles-br00118046; cpjump1-cpg0000-profiles-br00118047; cpjump1-cpg0000-profiles-br00118048; cpjump1-cpg0000-profiles-br00118049; cpjump1-cpg0000-profiles-br00118050,,,measured,Homo sapiens (A549 and U2OS),Cell Painting plus brightfield,303 compounds paired with 160 target genes via CRISPR knockout and ORF overexpression,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,cpjump1: files_checksummed,
cpg0004-lincs (LINCS Pilot 1),LINCS Cell Painting cpg0004 (full release + consensus profiles + metadata),experimental_lineage,imaging,https://zenodo.org/records/5008187,lincs_cellpainting,,,,measured,Homo sapiens (A549; second batch A549/MCF7/U2OS),Cell Painting,"1,571 compounds main batch; 349 second batch; 6-7 doses, 6/24/48 h",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,lincs_cellpainting: files_checksummed,
"cpg0012 (= BBBC047 = BBBC036 bioactive subset = idr0016; one experiment, do not double count)",CDRP / cpg0012 / BBBC047 (metadata + profile survey),experimental_lineage,imaging,https://bbbc.broadinstitute.org/BBBC047,cpg0012_bbbc047,,,,measured,Homo sapiens (U2OS),Cell Painting,"30,616 compounds",metadata_or_manifest_only,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,cpg0012_bbbc047: manifest_only,
cpg0016,JUMP Cell Painting cpg0016 (assembled profiles + metadata),experimental_lineage,imaging,https://cellpainting-gallery.s3.amazonaws.com/cpg0016-jump-assembled/source_all/workspace/profiles_assembled/,jump_cpg0016,jump-cpg0016-metadata-compound-csv-gz; jump-cpg0016-metadata-compound-source-csv-gz; jump-cpg0016-metadata-crispr-csv-gz; jump-cpg0016-metadata-orf-csv-gz; jump-cpg0016-metadata-perturbation-control-csv; jump-cpg0016-metadata-plate-csv-gz; jump-cpg0016-metadata-well-csv-gz; cellpainting-profiles-profile-index-json; cellpainting-profiles-broadinstitute-lincs-cell-painting-v1-zip; jump-cpg0016-profiles-profiles-wellpos-cc-var-mad-outlier-6153c918; jump-cpg0016-profiles-profiles-wellpos-cc-var-mad-outlier-featselect-sph-32f25ee6; jump-cpg0016-profiles-profiles-wellpos-cc-var-mad-outlier-featselect-sph-019cd1b7,,,measured,Homo sapiens (U2OS),Cell Painting (5-channel fluorescence microscopy),chemical compounds and genetic perturbations (ORF/CRISPR/compound subsets),materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,jump_cpg0016: files_checksummed,
CREEDS signature ids inside JSON (GEO-linked),CREEDS signature files (manual vs automatic vs DrugMatrix),experimental_lineage,bulk-atlases,https://maayanlab.cloud/CREEDS/downloads.json,bulk-atlases-creeds,,,,"differential-expression gene signatures (ranked lists, not counts)","human, mouse (mixed per set)",microarray/RNA-seq derived signatures,"gene perturbation, drug perturbation, disease (observational)",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-creeds: files_checksummed,
depmap-24q2,SLp raw Broad DepMap 24Q2,experimental_lineage,fitness-sl,slp/raw/depmap-24q2/,slp_raw_depmap_24q2,depmap-24q2-46489063; depmap-24q2-46489732; depmap-24q2-46490878,depmap-24q2; depmap-26q1-metadata,,single_gene_fitness; expression context,human,CRISPR gene effect; expression; model metadata,CRISPR gene knockout,materialized_or_censused_SLP_raw,open-attribution (per reconciliation),Reconciliation says historical Figshare 24Q2 is CC BY 4.0; it does not adjudicate current releases.,"FSL08 is metadata for a newer supported-file listing; treat it as an alias/reference to the same DepMap program, not an additional experimental lineage.","slp_raw_depmap_24q2: Bucket census metadata: 880 MB CRISPRGeneEffect, OmicsExpression TPM, and Model files.",Release-specific rights must remain release-specific; no conclusion about current DepMap terms is made.
depmap-26q1-metadata,DepMap supported file metadata,experimental_lineage,fitness-sl,https://depmap.org/portal/api/no-captcha/download/files,FSL08,,,,single_gene_fitness,Homo sapiens,CRISPR/RNAi knockout/knockdown,single-gene,materialized_fleet_evidence,terms-gated,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL08: files_checksummed,
doi:10.1038/nbt.3834,Han 2017 CDKO supplements,experimental_lineage,fitness-sl,https://doi.org/10.1038/nbt.3834,FSL18,cdko-han-2017-41587-2017-bfnbt3834-moesm263-esm-pdf; cdko-han-2017-41587-2017-bfnbt3834-moesm264-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm265-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm266-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm267-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm268-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm269-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm270-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm271-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm272-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm273-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm274-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm275-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm276-esm-xlsx; cdko-han-2017-41587-2017-bfnbt3834-moesm277-esm-xlsx,,,direct_pair_GI,Homo sapiens,CRISPR double knockout (CDKO),drug-target gene pairs,storage_only_rights_deferred,storage-only rights-deferred,Verified correction: non-open Springer supplement group; trainingAllowed=false and redistributionAllowed=false pending rights adjudication.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL18: files_checksummed,Storage-only pending rights adjudication; do not treat presence in storage or checksum verification as training or redistribution permission.
doi:10.1038/nbt.4048,Big Papi SynLet supplements,experimental_lineage,fitness-sl,https://doi.org/10.1038/nbt.4048,FSL20,bigpapi-2018-41587-2018-bfnbt4048-moesm25-esm-pdf; bigpapi-2018-41587-2018-bfnbt4048-moesm26-esm-pdf; bigpapi-2018-41587-2018-bfnbt4048-moesm27-esm-zip,,,direct_pair_GI,Homo sapiens,CRISPR double knockout,~25 target gene families,storage_only_rights_deferred,storage-only rights-deferred,Verified correction: non-open Springer supplement group; trainingAllowed=false and redistributionAllowed=false pending rights adjudication.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL20: files_checksummed,Storage-only pending rights adjudication; do not treat presence in storage or checksum verification as training or redistribution permission.
doi:10.1038/nbt.4062,Boettcher 2018 activation x KO supplements,experimental_lineage,fitness-sl,https://doi.org/10.1038/nbt.4062,FSL21,boettcher-2018-axko-41587-2018-bfnbt4062-moesm10-esm-csv; boettcher-2018-axko-41587-2018-bfnbt4062-moesm11-esm-csv; boettcher-2018-axko-41587-2018-bfnbt4062-moesm12-esm-pdf; boettcher-2018-axko-41587-2018-bfnbt4062-moesm13-esm-pdf; boettcher-2018-axko-41587-2018-bfnbt4062-moesm14-esm-xls; boettcher-2018-axko-41587-2018-bfnbt4062-moesm15-esm-txt; boettcher-2018-axko-41587-2018-bfnbt4062-moesm16-esm-txt; boettcher-2018-axko-41587-2018-bfnbt4062-moesm17-esm-txt; boettcher-2018-axko-41587-2018-bfnbt4062-moesm3-esm-pdf; boettcher-2018-axko-41587-2018-bfnbt4062-moesm4-esm-pdf; boettcher-2018-axko-41587-2018-bfnbt4062-moesm5-esm-csv; boettcher-2018-axko-41587-2018-bfnbt4062-moesm6-esm-csv; boettcher-2018-axko-41587-2018-bfnbt4062-moesm7-esm-csv; boettcher-2018-axko-41587-2018-bfnbt4062-moesm8-esm-csv; boettcher-2018-axko-41587-2018-bfnbt4062-moesm9-esm-csv,,,direct_pair_GI_directional,Homo sapiens,CRISPRa x CRISPR knockout,directional gene pairs,storage_only_rights_deferred,storage-only rights-deferred,Verified correction: non-open Springer supplement group; trainingAllowed=false and redistributionAllowed=false pending rights adjudication.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL21: files_checksummed,Storage-only pending rights adjudication; do not treat presence in storage or checksum verification as training or redistribution permission.
doi:10.1038/nmeth.4225,Shen 2017 combinatorial CRISPR supplements,experimental_lineage,fitness-sl,https://doi.org/10.1038/nmeth.4225,FSL19,shen-2017-combinatorial-41592-2017-bfnmeth4225-moesm40-esm-pdf; shen-2017-combinatorial-41592-2017-bfnmeth4225-moesm41-esm-xlsx; shen-2017-combinatorial-41592-2017-bfnmeth4225-moesm42-esm-xlsx; shen-2017-combinatorial-41592-2017-bfnmeth4225-moesm43-esm-xlsx; shen-2017-combinatorial-41592-2017-bfnmeth4225-moesm44-esm-xlsx,,,direct_pair_GI,Homo sapiens,CRISPR double knockout,73 genes all-pairs,storage_only_rights_deferred,storage-only rights-deferred,Verified correction: non-open Springer supplement group; trainingAllowed=false and redistributionAllowed=false pending rights adjudication.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL19: files_checksummed,Storage-only pending rights adjudication; do not treat presence in storage or checksum verification as training or redistribution permission.
doi:10.1038/s41467-021-21478-9,Gonatopoulos-Pournatzis 2021 paralog screen,experimental_lineage,fitness-sl,https://www.nature.com/articles/s41467-021-21478-9,FSL17,gonatopoulos-2021-paralog-41467-2021-21478-moesm10-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm11-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm12-esm-pdf; gonatopoulos-2021-paralog-41467-2021-21478-moesm13-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm1-esm-pdf; gonatopoulos-2021-paralog-41467-2021-21478-moesm2-esm-pdf; gonatopoulos-2021-paralog-41467-2021-21478-moesm3-esm-pdf; gonatopoulos-2021-paralog-41467-2021-21478-moesm4-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm5-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm6-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm7-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm8-esm-xlsx; gonatopoulos-2021-paralog-41467-2021-21478-moesm9-esm-xlsx,,,direct_pair_GI,Homo sapiens,CRISPR combinatorial splicing/paralog screens,gene pairs,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL17: files_checksummed,
drugmatrix,DrugMatrix via NIEHS CEBS (paper 15670),experimental_lineage,chemical-tx,https://cebs.niehs.nih.gov/cebs/paper/15670,chemical-tx_drugmatrix,,,,toxicogenomics_dose_timecourse,male rat (7 tissues + primary hepatocytes),CodeLink and Affymetrix whole-genose microarrays + histopathology,"~637 pharmaceuticals/environmental chemicals, doses 0.25/1/3/5 d",materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,chemical-tx_drugmatrix: files_checksummed,
dryad:10.5061/dryad.4291s,Costanzo 2016 yeast SGA (Dryad),experimental_lineage,fitness-sl,https://doi.org/10.5061/dryad.4291s | Dryad 10.5061/dryad.4291s; slp/raw/costanzo-2016/,FSL03; slp_raw_costanzo_2016,costanzo-2016-pairwise,costanzo-2016; population-yeast; response-yeast | population-yeast; response-yeast,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,direct_pair_GI (yeast),Saccharomyces cerevisiae; yeast,SGA double mutant; pairwise SGA,SGA gene pairs; genetic interaction,materialized_or_censused_SLP_raw,rights-unresolved,Reconciliation identifies a rights record but says it is reconcile-before-fitting; no training conclusion recorded here.,Merged with FSL03: same Costanzo 2016 yeast SGA lineage; one canonical row.,FSL03: unresolved | slp_raw_costanzo_2016: Bucket census metadata: 521 MB pairwise.zip.,Costanzo rights are unresolved; registry inclusion and object census are not training admission.
ENCSR accessions,ENCODE shRNA/CRISPR RNA-seq perturbation experiments,experimental_lineage,bulk-atlases,https://www.encodeproject.org/search/?type=Experiment&assay_title=shRNA+RNA-seq&status=released&format=json,bulk-atlases-encode,,,,processed gene quantification tables + experiment metadata,human (K562/HepG2),shRNA and CRISPR RNA-seq,shRNA/CRISPR depletion (RBP knockdowns),materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,bulk-atlases-encode: files_checksummed,
feng-2024,Feng 2024 SL benchmark,experimental_lineage,fitness-sl,Zenodo 14025191; slp/raw/feng-2024/,slp_raw_feng_2024,feng-2024-data_small-tar-gz-partaa; feng-2024-data_small-tar-gz-partab; feng-2024-data_small-tar-gz-partac; feng-2024-data_small-tar-gz-partad; feng-2024-data_small-tar-gz-partae,feng-2024; feng-folds | feng-folds,Prepared views and technical resamples listed in aliases are representations only; they do not add a canonical lineage.,benchmark dataset; underlying evidence composition not re-adjudicated,not stated in supplied reconciliation,SL benchmark data_small,not stated in supplied reconciliation,materialized_or_censused_SLP_raw,open-attribution (per reconciliation),Reconciliation states CC BY 4.0.,"New raw source lineage; feng-folds is a prepared view, not another lineage.",slp_raw_feng_2024: Bucket census metadata: 4.9 GB five md5 parts; 22 GB decompressed data_small.,
figshare:6025238,DEMETER2,experimental_lineage,fitness-sl,https://doi.org/10.6084/m9.figshare.6025238,FSL10,demeter2-2018-d2-combined-cl-data-csv; demeter2-2018-d2-combined-gene-dep-scores-csv; demeter2-2018-readme-txt; demeter2-2018-sample-info-csv,,,single_gene_fitness,Homo sapiens,shRNA knockdown (DEMETER2),single-gene,materialized_fleet_evidence,as-recorded; no unified rights conclusion,Copied from master-registry.csv; no additional adjudication in this report.,No explicit cross-source overlap decision recorded in supplied reconciliation.,FSL10: files_checksummed,
